School,CLIx Code,District
ZPHS ZAFFARGADH,1001,Warrangal
ZPHS MACHUPHAD,1002,Warrangal
ZPPSS Nawabpet,1003,Warrangal
ZPHS Narmetta,1004,Warrangal
Zphs Veldanda,1005,Warrangal
ZPHS Cheeturu,1006,Warrangal
ZPHS Kunoor,1007,Warrangal
ZPHS Pidisilla,1008,Warrangal
ZPHS Motlapally,1009,Warrangal
ZPHS Alankhanipet,1010,Warrangal
ZPHS Pedakorpole,1011,Warrangal
ZPHS Mogullapally,1012,Warrangal
ZPHS ASHOKNAGAR,1013,Warrangal
ZPHS BUDHARAOPET,1014,Warrangal
ZPHS Dharmaraopet,1015,Warrangal
ZPHS OTAI,1016,Warrangal
ZPHS DHARMARAM,1017,Warrangal
ZPHS ELUKURTHY,1018,Warrangal
GHS rangasaipet g,1019,Warrangal
ZPPSS PEDDAMADUR,1020,Warrangal
ZPHS PARVATHAGIRI,1021,Warrangal
ZPHS Dhoolmitta,1022,Warrangal
GHS krishnacolony,1023,Warrangal
ZPHS KONKAPAKA,1024,Warrangal
ZPHS Girls mahabubabad,1025,Warrangal
ZPHS Pulukurthy,1026,Warrangal
GHS orus,1027,Warrangal
ZPHS DEVAGIRIPATNAM,1028,Warrangal
GHS Karimabad,1029,Warrangal
ZPHS Atmakur,1030,Warrangal
ZPHS GUNTURPALLY,1031,Warrangal
ZPHS edulapusapally,1032,Warrangal
GHS g middlefort,1033,Warrangal
ZPHS Akkampet,1034,Warrangal
ZPHS GIRLS MULUG,1035,Warrangal
Zppss Paidipally,1036,Warrangal
ZPHS Damera,1037,Warrangal
ZPHS ABBAPOOR,1038,Warrangal
ZPPSS CHINNAMADUR,1039,Warrangal
ZPSS Neerukulla,1040,Warrangal
Tswrms/jr.college madikonda,1041,Warrangal
ZPHS Pakhal Road Model,1042,Warrangal
GHS railwaygate,1043,Warrangal
TSTWREIS HS KOTHAGUDA,1044,Warrangal
ZPHS CHALVAI,1045,Warrangal
Zphs siddapur,1046,Warrangal
Zphs mucharla,1047,Warrangal
ZPHS ELLANDA,1048,Warrangal
ZPHS KONDAPUR,1049,Warrangal
GGHS lashkarbazar,1050,Warrangal
zppss sundaraiah nagar,1051,Warrangal
ZPHS Obul Keshvapur,1052,Warrangal
ZPHS PEDDAPAHAD,1053,Warrangal
ZPHS MULKALAPALLY,1054,Warrangal
ZPHS DORNAKAL,1055,Warrangal
ZPHS Konduru,1056,Warrangal
ZPHS(Girls)Dharmasagar,1057,Warrangal
ZPHS Saipet,1058,Warrangal
ZPHS Peddapendial,1059,Warrangal
ZPHS UPPARAPALLY,1060,Warrangal
ZPHS PENUGONDA,1061,Warrangal
ZPHS KALWALA,1062,Warrangal
Zphs kambalapally,1063,Warrangal
Hanamkonda,1064,Warrangal
GHS Waddepalli,1065,Warrangal
Zphs v s laxmipuram,1066,Warrangal
ZPHS GORREKUNTA,1067,Warrangal
ZPHS KOMMALA,1068,Warrangal
GHS (boys) kazipet,1069,Warrangal
ZPHS Kadipikonda,1070,Warrangal
Zphs Hasanparthy (G),1071,Warrangal
TSTWREIS HS AK Ghanpur,1072,Warrangal
ZphS MEDAPALLY,1073,Warrangal
ZPHS RUDRAGUDEM,1074,Warrangal
ZPHS NANDIGAMA,1075,Warrangal
ZPHS ALAIR,1076,Warrangal
GHS Basithnagar,1077,Warrangal
GHS Markaji,1078,Warrangal
ZPHS mamnoor camp,1079,Warrangal
ZPHS madikonda,1080,Warrangal
ZPHS MECHARAJPALLY,1081,Warrangal
ZPHS Kondaparthy,1082,Warrangal
,1083,
ZPHS Tharalapally,1084,Warrangal
Zphs Salakpur,1085,Warrangal
Zphs Bairanpally,1086,Warrangal
ZPHS Maddur,1087,Warrangal
ZPHS TEKUMATLA,1088,Warrangal
Zphs nainpaka,1089,Warrangal
Zphs CHITYAL,1090,Warrangal
ZPHS CHELPUR,1091,Warrangal
ZPHS BUDDARAM,1092,Warrangal
ZPHS GHANPUR (M),1093,Warrangal
